Date,Open,High,Low,Close,Volume
2023-06-06,177.477,177.6299,174.9771,176.7325,64848374.0
2023-06-07,175.9731,178.7048,174.8686,175.3617,61944615.0
2023-06-08,175.4356,178.3399,175.0067,178.0737,50214881.0
2023-06-09,178.9908,179.7107,178.1328,178.4583,48899973.0
2023-06-12,178.764,181.3478,178.4681,181.2491,54754995.0
2023-06-13,180.2728,181.6042,179.9178,180.7758,54929129.0
2023-06-14,180.835,181.8409,179.5036,181.4069,57462882.0
2023-06-15,181.4168,183.9414,181.2393,183.4385,65433166.0
2023-06-16,184.1485,184.4049,181.7225,182.3635,101256225.0
2023-06-20,181.8606,183.5272,181.8606,182.4523,49799092.0
2023-06-21,182.3438,182.8468,180.0658,181.4168,49515697.0
2023-06-22,181.1998,184.4591,181.1308,184.4148,51245327.0
2023-06-23,182.9848,184.967,182.4523,184.0992,53116996.0
2023-06-26,184.2471,185.4503,182.6692,182.7087,48088661.0
2023-06-27,183.3201,185.7856,183.1032,185.4601,50730846.0
2023-06-28,185.3319,187.2747,185.0065,186.6337,51216801.0
2023-06-29,186.466,187.4423,186.3279,186.969,46347308.0
2023-06-30,188.9808,191.7914,188.6159,191.2884,85213216.0
2023-07-03,191.101,191.1997,189.109,189.7993,31458198.0
2023-07-05,188.9167,190.3121,187.9847,188.6849,46920261.0
2023-07-06,187.2155,189.3654,186.5844,189.1583,45156009.0
2023-07-07,188.7638,190.0064,187.61,188.0439,46814998.0
2023-07-10,186.6435,187.3634,184.4493,186.0025,59922163.0
2023-07-11,186.5449,186.683,184.0203,185.4798,46638119.0
2023-07-12,187.0577,189.0498,185.8644,187.1465,60750248.0
2023-07-13,187.8664,188.5468,187.1563,187.9058,41342338.0
2023-07-14,187.6001,188.5369,187.0084,188.0538,41616242.0
2023-07-17,189.247,191.6336,189.1583,191.3081,50520159.0
2023-07-18,190.677,191.6434,189.7549,191.0517,48353774.0
2023-07-19,190.4304,195.4895,189.9867,192.4028,80507323.0
2023-07-20,192.3929,193.7538,189.8338,190.46,59581196.0
2023-07-21,191.4166,192.2746,188.5863,189.2865,71951683.0
2023-07-24,190.7362,192.2154,189.5922,190.0853,45505097.0
2023-07-25,190.6573,191.7519,190.248,190.9432,37283201.0
2023-07-26,190.9926,192.9353,190.6474,191.8111,47471868.0
2023-07-27,193.3101,194.4738,189.888,190.5488,47460180.0
2023-07-28,191.9787,193.9077,191.4561,193.1227,48291443.0
2023-07-31,193.3495,193.7736,192.5606,193.7341,38824113.0
2023-08-01,193.5221,194.0103,192.5803,192.9008,35281426.0
2023-08-02,192.3436,192.4817,189.1984,189.9176,50389327.0
2023-08-03,188.9216,189.7105,188.0538,188.5271,62243282.0
2023-08-04,182.9552,184.7895,179.405,179.474,115956841.0
2023-08-07,179.6121,180.5983,174.8982,176.3774,97576069.0
2023-08-08,177.2058,177.7778,175.125,177.3143,67823003.0
2023-08-09,178.3695,178.4287,174.5629,175.7266,60378492.0
2023-08-10,176.9987,178.2512,175.1447,175.5096,54686851.0
2023-08-11,175.1048,176.3886,174.3444,175.5689,52036672.0
2023-08-14,175.7467,177.4452,175.09,177.2181,43675627.0
2023-08-15,176.6453,177.2378,174.8382,175.2332,43622593.0
2023-08-16,174.9172,176.3096,174.2951,174.3642,46964857.0
2023-08-17,174.9271,175.2879,171.3128,171.8263,66062882.0
2023-08-18,170.1475,172.9125,169.8118,172.3102,61172150.0
2023-08-21,172.8829,173.9297,171.5646,173.6433,46311879.0
2023-08-22,174.8481,175.4603,174.0482,175.0159,42084245.0
2023-08-23,176.2898,179.282,176.0973,178.8573,52722752.0
2023-08-24,178.4169,178.8415,173.8112,174.1766,54945798.0
2023-08-25,175.1641,176.9119,173.6235,176.3787,51449594.0
2023-08-28,177.8402,178.334,176.3145,177.939,43820697.0
2023-08-29,177.4501,182.5901,177.2576,181.8199,53003948.0
2023-08-30,182.6296,185.5033,182.4321,185.3058,60813888.0
2023-08-31,185.4934,186.7574,185.1379,185.523,60794467.0
2023-09-01,187.1178,187.5474,185.9279,187.0931,45766503.0
2023-09-05,185.9279,187.6067,185.2663,187.3302,45280027.0
2023-09-06,186.0464,186.4908,179.203,180.625,81755816.0
2023-09-07,172.9915,175.9837,171.372,175.3418,112488803.0
2023-09-08,176.1219,177.9873,175.5689,175.9541,65602066.0
2023-09-11,177.8205,178.0476,175.1246,177.1193,58953052.0
2023-09-12,177.2477,177.8797,172.636,174.0976,90370192.0
2023-09-13,174.3049,175.0851,171.8065,172.0337,84267928.0
2023-09-14,171.8263,173.9001,171.4115,173.5445,60895757.0
2023-09-15,174.2753,174.2901,171.6485,172.8237,109259461.0
2023-09-18,174.2753,177.1391,173.9692,175.7467,67257573.0
2023-09-19,175.3023,177.386,174.9172,176.8329,51826941.0
2023-09-20,177.0206,177.4501,173.2088,173.2977,58436181.0
2023-09-21,172.3694,174.0976,171.688,171.7572,63149116.0
2023-09-22,172.4879,174.8668,171.8757,172.6064,56725385.0
2023-09-25,172.0238,174.7592,171.9744,173.8803,46172740.0
2023-09-26,172.636,173.0113,169.5155,169.8118,64588945.0
2023-09-27,170.4635,170.8783,166.9381,168.3009,66921808.0
2023-09-28,167.2245,169.8809,165.526,168.5576,56294419.0
2023-09-29,169.871,170.9079,168.213,169.0711,51861083.0
2023-10-02,169.081,172.1225,168.7946,171.5794,52164535.0
2023-10-03,170.1031,171.4609,168.686,170.2463,49594613.0
2023-10-04,168.9526,172.0337,168.8341,171.4905,53020286.0
2023-10-05,171.6189,173.2582,170.5228,172.7249,48527918.0
2023-10-06,171.6288,175.7664,171.0165,175.2727,57266675.0
2023-10-09,174.6012,176.8132,173.6038,176.7539,42390772.0
2023-10-10,175.8751,177.4748,175.7269,176.1614,43698019.0
2023-10-11,175.9738,177.6032,175.3813,177.5538,47551098.0
2023-10-12,177.8205,180.0621,176.8033,178.4525,56743119.0
2023-10-13,179.1536,179.6572,175.9146,176.6157,51456082.0
2023-10-16,174.5419,176.8379,174.3049,176.4873,52516984.0
2023-10-17,174.4382,176.1911,172.6163,174.9369,57549350.0
2023-10-18,173.3865,175.3566,172.9224,173.6433,54764375.0
2023-10-19,173.8408,175.6183,173.0014,173.268,59302863.0
2023-10-20,173.1199,173.2285,170.4833,170.7203,64244028.0
2023-10-23,168.7749,171.8362,167.8071,170.8388,55980109.0
2023-10-24,170.8882,171.5004,169.3081,171.2733,43816644.0
2023-10-25,169.7328,170.898,168.5181,168.9625,57156962.0
2023-10-26,168.2416,169.2365,163.6003,164.8051,70625258.0
2023-10-27,164.8249,166.8492,164.7459,166.1185,58499129.0
2023-10-30,166.9085,169.0316,166.7604,168.1626,51130955.0
2023-10-31,167.2344,168.765,165.8025,168.6366,44846017.0
2023-11-01,168.8638,172.0534,167.9948,171.7967,56934906.0
2023-11-02,173.3273,175.5591,173.268,175.3517,77334752.0
2023-11-03,172.0633,174.6111,171.1844,174.4432,79829246.0
2023-11-06,174.1766,177.1884,174.0087,176.9909,63841310.0
2023-11-07,176.9416,180.1608,176.7342,179.5486,70529966.0
2023-11-08,180.072,181.1582,179.3215,180.6052,49340282.0
2023-11-09,180.6744,181.8199,179.5387,180.1312,53763540.0
2023-11-10,181.9111,184.4771,181.4761,184.3139,66177922.0
2023-11-13,183.7404,183.9481,182.1484,182.7318,43627519.0
2023-11-14,185.5994,186.0048,184.2151,185.3423,60108378.0
2023-11-15,185.7428,187.3792,185.6785,185.9059,53790499.0
2023-11-16,187.4485,188.8229,186.5388,187.5869,54412915.0
2023-11-17,188.1208,188.2494,186.4596,187.5671,50941404.0
2023-11-20,187.7649,189.7573,187.755,189.3074,46538614.0
2023-11-21,189.2679,189.3766,187.6166,188.5065,38134485.0
2023-11-22,189.347,190.7709,188.6894,189.169,39630011.0
2023-11-24,188.7339,188.7636,187.132,187.844,24048344.0
2023-11-27,187.7945,188.5361,186.786,187.666,40552609.0
2023-11-28,187.6561,188.9416,187.2804,188.2692,38415419.0
2023-11-29,188.7636,189.9403,186.8552,187.2507,43014224.0
2023-11-30,187.7154,188.1901,186.0839,187.8242,48794366.0
2023-12-01,188.2,189.4162,187.1123,189.0998,45704823.0
2023-12-04,187.8539,187.9231,185.3533,187.31,43389519.0
2023-12-05,188.0813,192.2244,188.0516,191.2554,66628398.0
2023-12-06,192.2738,192.5804,189.96,190.1677,41089737.0
2023-12-07,191.463,192.8177,191.4235,192.0959,47477655.0
2023-12-08,192.0266,193.7966,191.5026,193.5197,53406358.0
2023-12-11,190.9488,191.3246,189.2778,191.0181,60943699.0
2023-12-12,190.9192,192.5408,189.5754,192.5309,52696900.0
2023-12-13,192.9067,195.7841,192.6694,195.7446,70404183.0
2023-12-14,195.8039,197.386,193.9647,195.8929,66831572.0
2023-12-15,195.3194,196.1795,194.7953,195.3589,128538401.0
2023-12-18,193.8955,194.4294,192.2145,193.6977,55751861.0
2023-12-19,193.9647,194.7459,193.6977,194.736,40714051.0
2023-12-20,194.6964,195.4677,192.6496,192.6496,52242815.0
2023-12-21,193.9054,194.8744,191.3345,192.5013,46482549.0
2023-12-22,192.9957,193.2231,190.8104,191.4334,37149570.0
2023-12-26,191.4432,191.7201,190.672,190.8895,28919310.0
2023-12-27,190.3358,191.3345,188.9514,190.9884,48087681.0
2023-12-28,191.9673,192.4815,191.0082,191.4136,34049898.0
2023-12-29,191.73,192.2244,189.5793,190.3753,42672148.0
2024-01-02,185.0555,186.3311,181.8271,183.5624,82488674.0
2024-01-03,182.1583,183.7998,181.3772,182.188,58414460.0
2024-01-04,180.1115,181.0382,178.8557,179.8742,71983570.0
2024-01-05,179.9533,180.7147,178.1537,179.1524,62379661.0
2024-01-08,180.0472,183.5229,179.4688,183.4833,59144470.0
2024-01-09,181.8617,183.0779,180.685,183.068,42841809.0
2024-01-10,182.2869,184.3139,181.8617,184.1063,46792908.0
2024-01-11,184.4524,184.9567,181.565,183.513,49128408.0
2024-01-12,183.9777,184.6501,183.1175,183.8393,40477782.0
2024-01-16,180.1214,182.1979,178.9091,181.5749,65603041.0
2024-01-17,179.2413,180.8828,178.2822,180.6356,47317433.0
2024-01-18,184.0074,187.0233,183.7503,186.519,78005754.0
2024-01-19,187.2111,189.8018,186.7069,189.4162,68902985.0
2024-01-22,190.1479,193.144,190.1084,191.7201,60133852.0
2024-01-23,192.8375,193.5593,191.6607,192.9957,42355590.0
2024-01-24,193.233,194.1822,192.1651,192.3233,53631316.0
2024-01-25,193.0352,194.071,190.9513,191.997,54822126.0
2024-01-26,192.0959,192.5804,189.7919,190.2666,44594011.0
2024-01-29,189.8612,190.049,187.4583,189.5843,47145622.0
2024-01-30,188.8031,189.6535,185.372,185.9356,55859370.0
2024-01-31,184.9468,185.0012,182.2869,182.3363,55467803.0
2024-02-01,181.926,184.8578,181.7628,184.7688,64885408.0
2024-02-02,177.8471,185.2335,177.244,183.7701,102551680.0
2024-02-05,186.0443,187.132,183.7602,185.5796,69668820.0
2024-02-06,184.7688,187.1914,184.6793,187.1815,43490759.0
2024-02-07,188.5065,188.9119,186.4992,187.2902,53438955.0
2024-02-08,187.2655,187.4138,185.2533,186.2124,40962046.0
2024-02-09,186.7767,188.1034,186.1332,186.9747,45155216.0
2024-02-12,186.544,186.7965,184.9352,185.2916,41781934.0
2024-02-13,183.9253,184.3609,181.6905,183.2026,56529529.0
2024-02-14,183.4798,183.6877,180.6284,182.3214,54630517.0
2024-02-15,181.7273,182.658,179.5492,182.0343,65434496.0
2024-02-16,181.5986,183.0144,179.8611,180.4997,49752465.0
2024-02-20,179.9848,180.6185,178.2126,179.7571,53665553.0
2024-02-21,180.1333,181.0727,178.866,180.5096,41529674.0
2024-02-22,181.658,183.1184,180.6482,182.5392,52292208.0
2024-02-23,183.1729,183.2026,180.4205,180.7076,45119677.0
2024-02-26,180.4304,180.9452,178.8561,179.3611,40867421.0
2024-02-27,179.3017,182.0962,177.777,180.8165,54318851.0
2024-02-28,180.6977,181.3016,178.3413,179.6185,48953939.0
2024-02-29,179.47,180.7571,177.7473,178.9552,136682597.0
2024-03-01,177.7671,178.7373,175.6186,177.876,73563082.0
2024-03-04,174.4008,175.1434,172.0643,173.3613,81510101.0
2024-03-05,169.0644,170.3316,167.9357,168.4307,95132355.0
2024-03-06,169.3614,169.5396,167.005,167.4406,68587707.0
2024-03-07,167.4703,169.0347,166.8169,167.3218,71765061.0
2024-03-08,167.3218,171.9752,167.2624,169.0347,76267041.0
2024-03-11,171.2227,172.6484,170.3415,171.0346,60139473.0
2024-03-12,171.4306,172.3019,169.3119,171.5098,59825372.0
2024-03-13,171.0544,171.4653,169.0644,169.4307,52488692.0
2024-03-14,171.193,172.5769,170.3415,171.2821,72913507.0
2024-03-15,169.4703,170.9059,168.5941,170.9059,121752699.0
2024-03-18,173.8266,175.9453,171.7969,171.995,75604184.0
2024-03-19,172.6088,174.8513,171.3118,174.3315,55215244.0
2024-03-20,173.9751,176.8958,173.3514,176.8958,53423102.0
2024-03-21,175.2919,175.7275,169.1436,169.6683,106181270.0
2024-03-22,170.0544,171.3316,168.3713,170.5693,71160138.0
2024-03-25,168.8713,170.2326,167.7674,169.1535,54288328.0
2024-03-26,168.3119,169.7178,167.8961,168.0248,57388449.0
2024-03-27,168.7178,171.8762,168.4208,171.589,60273265.0
2024-03-28,170.0445,170.5198,168.8168,169.7772,65672690.0
2024-04-01,169.4901,169.5495,167.7921,168.3416,46240500.0
2024-04-02,167.401,167.6585,166.5597,167.1634,49329481.0
2024-04-03,167.1139,168.9851,166.906,167.9654,47691715.0
2024-04-04,168.599,170.2128,167.1436,167.1436,53704386.0
2024-04-05,167.906,168.698,167.2723,167.8961,42104826.0
2024-04-08,167.3515,167.5198,166.5694,166.7773,37425513.0
2024-04-09,167.0248,168.3911,166.6783,167.9852,42451209.0
2024-04-10,167.1238,167.4109,165.4506,166.1139,49709336.0
2024-04-11,166.6684,173.7177,166.4902,173.3019,91070275.0
2024-04-12,172.5296,176.5889,172.4801,174.7969,101670886.0
