Date,Open,High,Low,Close,Volume
2023-06-07,154.75,155.9,148.4,149.23,3492053.0
2023-06-08,149.12,151.69,148.51,151.3,2277444.0
2023-06-09,153.53,153.83,146.84,149.53,3550834.0
2023-06-12,150.235,151.86,148.91,151.11,2448284.0
2023-06-13,153.06,154.27,150.57,153.11,3145762.0
2023-06-14,153.15,154.0,150.68,153.96,2673665.0
2023-06-15,153.23,161.1898,152.2214,159.81,7568016.0
2023-06-16,162.1,162.25,154.81,155.14,6351885.0
2023-06-20,152.6,155.7199,150.26,152.08,3596370.0
2023-06-21,150.58,151.38,143.27,143.85,6245191.0
2023-06-22,142.56,146.9399,141.5,145.8,3309409.0
2023-06-23,143.43,144.95,142.21,143.65,2920373.0
2023-06-26,143.04,145.1799,141.35,141.81,2186097.0
2023-06-27,142.49,145.07,142.0701,144.28,2563136.0
2023-06-28,143.89,146.02,142.4377,145.09,2374791.0
2023-06-29,145.77,146.49,143.17,143.99,2450137.0
2023-06-30,145.09,149.32,144.87,146.87,3092674.0
2023-07-03,147.18,147.55,145.01,145.96,1386363.0
2023-07-05,145.56,147.27,144.88,145.08,3179087.0
2023-07-06,142.75,143.715,139.37,143.61,3792197.0
2023-07-07,143.51,146.7999,143.48,144.05,2285033.0
2023-07-10,143.8,149.98,143.5,149.95,3451914.0
2023-07-11,150.75,152.74,149.27,150.79,3520695.0
2023-07-12,153.19,153.93,144.34,146.13,4597254.0
2023-07-13,147.98,153.54,147.53,150.75,4044674.0
2023-07-14,150.45,152.24,148.9301,149.4,2659854.0
2023-07-17,149.07,155.56,148.43,152.73,3687602.0
2023-07-18,153.0,154.225,150.74,152.95,2411880.0
2023-07-19,155.0,161.5,154.895,157.61,4787512.0
2023-07-20,154.93,156.14,147.5,148.07,4791865.0
2023-07-21,149.93,152.375,148.88,150.9,5951270.0
2023-07-24,150.97,151.785,147.15,149.74,2748113.0
2023-07-25,150.62,153.41,150.54,150.94,2246209.0
2023-07-26,150.28,154.95,148.45,154.63,2798647.0
2023-07-27,156.95,158.08,152.195,152.85,2671013.0
2023-07-28,155.5,157.04,153.5,155.6,2004120.0
2023-07-31,157.89,163.41,157.66,161.66,3918481.0
2023-08-01,161.0,166.99,159.02,165.96,4028081.0
2023-08-02,161.513,161.6,152.56,154.73,4611939.0
2023-08-03,154.0,158.4999,153.23,157.55,2468049.0
2023-08-04,155.23,155.99,148.625,150.49,4469069.0
2023-08-07,151.26,152.05,147.8,150.97,2329844.0
2023-08-08,147.17,147.71,142.89,145.88,4283560.0
2023-08-09,145.11,147.11,144.2458,145.46,2495232.0
2023-08-10,147.35,150.99,146.6301,147.86,2349775.0
2023-08-11,147.22,150.078,146.86,148.22,2046137.0
2023-08-14,147.35,152.55,146.58,152.37,2230204.0
2023-08-15,150.52,151.68,149.06,149.63,1964771.0
2023-08-16,149.0,151.34,147.76,149.0,1876190.0
2023-08-17,149.0,149.0,143.91,144.38,3359037.0
2023-08-18,141.66,147.3041,140.52,146.8,3196665.0
2023-08-21,150.76,155.12,150.51,153.9,4245795.0
2023-08-22,154.34,155.0,151.61,152.33,1708017.0
2023-08-23,153.48,155.4399,151.57,153.81,1918461.0
2023-08-24,155.55,155.55,145.29,145.45,3354335.0
2023-08-25,146.0,150.44,144.7,149.58,2839146.0
2023-08-28,146.02,147.99,142.36,144.03,5794021.0
2023-08-29,142.93,148.41,141.971,146.7,3620242.0
2023-08-30,147.0,150.17,145.38,149.18,6193878.0
2023-08-31,154.11,164.41,153.58,163.03,13727057.0
2023-09-01,163.12,166.25,160.31,161.23,4232540.0
2023-09-05,161.03,165.59,160.1,165.43,3288211.0
2023-09-06,164.99,168.23,164.0484,166.23,4268642.0
2023-09-07,164.4,167.95,163.2,166.64,3000899.0
2023-09-08,166.475,169.23,166.0,168.09,2692752.0
2023-09-11,169.5,172.64,168.67,172.29,2967682.0
2023-09-12,170.44,172.35,168.275,169.68,2110036.0
2023-09-13,169.52,170.78,168.33,168.47,1705476.0
2023-09-14,169.35,171.8,168.57,170.73,2083417.0
2023-09-15,166.12,168.2107,163.44,165.45,4727597.0
2023-09-18,164.98,168.6,164.0,166.97,2445347.0
2023-09-19,166.95,167.62,162.89,165.5,2350385.0
2023-09-20,165.5,168.565,163.88,163.89,2780058.0
