Date,Open,High,Low,Close,Volume
2023-06-06,38.7526,39.082,38.072,38.577,38872914.0
2023-06-07,38.8415,39.4244,37.2854,37.4042,51199789.0
2023-06-08,37.6527,38.7906,37.4341,38.4372,41777240.0
2023-06-09,38.9632,39.6359,38.4941,38.6967,42771747.0
2023-06-12,39.1259,39.4553,38.545,39.4074,38967335.0
2023-06-13,40.1101,41.0233,39.6649,40.9445,61320816.0
2023-06-14,40.7468,42.9187,40.4754,42.9157,74046502.0
2023-06-15,42.5215,43.2072,42.0673,42.5724,56862204.0
2023-06-16,43.3679,43.6384,42.5799,42.6113,65570941.0
2023-06-20,42.9167,43.9069,42.5933,43.7252,45115311.0
2023-06-21,43.4188,43.5326,42.0005,42.9636,55160291.0
2023-06-22,42.1731,43.3434,42.1542,42.9437,41773743.0
2023-06-23,42.3837,42.7281,41.9356,42.1292,35813984.0
2023-06-26,42.3808,42.6832,40.0242,40.5552,59432192.0
2023-06-27,40.7219,41.8607,40.3716,41.7969,46217470.0
2023-06-28,40.5832,41.7659,40.4414,41.0393,58263927.0
2023-06-29,41.4795,41.5214,40.5233,40.7448,38051430.0
2023-06-30,41.6012,42.4696,41.4226,42.2221,50114775.0
2023-07-03,42.4366,42.8169,42.1222,42.3328,19820919.0
2023-07-05,42.0554,43.0954,42.0055,42.237,32361756.0
2023-07-06,41.7649,42.0993,41.2679,42.0234,30413879.0
2023-07-07,42.242,43.1323,42.1003,42.4227,35588147.0
2023-07-10,42.5764,42.7301,41.5703,42.1003,35390811.0
2023-07-11,42.4007,42.6772,41.9875,42.3249,29824406.0
2023-07-12,42.9517,43.852,42.6964,43.819,48127702.0
2023-07-13,44.4339,46.0678,44.4079,45.8901,47820369.0
2023-07-14,46.4948,47.9971,44.9748,45.3831,77207533.0
2023-07-17,46.2015,46.4081,45.1769,46.3732,51048822.0
2023-07-18,46.6127,47.8055,45.6476,47.4042,57019042.0
2023-07-19,47.3743,47.7276,46.6537,46.988,42750179.0
2023-07-20,46.4191,46.998,44.9768,45.434,53786451.0
2023-07-21,45.7015,45.7793,44.0167,44.2253,96376863.0
2023-07-24,44.6465,45.0237,43.9568,44.5277,38309974.0
2023-07-25,44.8561,46.0952,44.8381,45.5927,34808091.0
2023-07-26,45.934,45.966,44.5457,45.3661,36423726.0
2023-07-27,46.4311,47.3054,45.6635,45.8133,45597552.0
2023-07-28,46.5798,46.9381,46.2933,46.6616,33119424.0
2023-07-31,46.6656,47.0409,46.4181,46.6407,25105528.0
2023-08-01,46.3717,46.8114,45.94,46.4191,23927597.0
2023-08-02,45.7444,45.7534,43.305,44.1853,53014157.0
2023-08-03,43.7172,45.0327,43.7172,44.4309,32507660.0
2023-08-04,44.9,45.5557,44.3091,44.5956,36266618.0
2023-08-07,45.0257,45.4539,44.4792,45.3307,32215354.0
2023-08-08,44.7682,45.1565,43.9727,44.5796,35384343.0
2023-08-09,44.1903,44.2283,42.0544,42.4736,58644907.0
2023-08-10,42.0803,43.4916,41.7559,42.3079,49270530.0
2023-08-11,41.6721,41.9386,40.5622,40.7778,53308526.0
2023-08-14,40.4095,43.7172,40.2348,43.6703,69028583.0
2023-08-15,44.4758,45.1824,43.6274,43.857,67651151.0
2023-08-16,44.4359,44.5906,43.324,43.4038,52745068.0
2023-08-17,43.8869,43.9787,42.9197,43.2616,45239482.0
2023-08-18,42.5544,43.4956,41.5813,43.2172,58376787.0
2023-08-21,44.4099,46.9761,44.1384,46.8782,69257337.0
2023-08-22,48.044,48.0959,45.2474,45.5817,75720691.0
2023-08-23,45.7793,47.1108,45.1226,47.027,77904608.0
2023-08-24,50.1211,50.171,47.0699,47.0739,115604409.0
2023-08-25,46.9232,47.7147,44.9389,45.931,92534052.0
2023-08-28,46.3942,46.8912,44.8032,46.7465,68519223.0
2023-08-29,46.5778,48.9882,46.3033,48.6918,70139699.0
2023-08-30,48.9513,49.8326,48.3335,49.1709,73520598.0
2023-08-31,49.2867,49.65,48.8655,49.2617,52856977.0
2023-09-01,49.668,49.7059,48.0506,48.4173,46383030.0
2023-09-05,48.1319,48.7585,47.7695,48.4562,38265258.0
2023-09-06,48.3534,48.4612,46.4958,46.9759,46866957.0
2023-09-07,45.4427,46.2602,45.0704,46.1574,43332989.0
2023-09-08,45.8589,46.5217,45.1891,45.4896,47389994.0
2023-09-11,46.0646,46.0795,44.2319,45.0963,47396555.0
2023-09-12,44.6571,45.5904,44.4505,44.7889,34925634.0
2023-09-13,44.5194,45.847,44.4225,45.4028,39835535.0
2023-09-14,45.8669,45.9038,45.0494,45.4986,37009720.0
2023-09-15,45.259,45.5166,43.7288,43.8206,50683051.0
2023-09-18,42.6707,44.162,41.9241,43.8865,50027079.0
2023-09-19,43.7537,43.8865,42.9242,43.4413,37306424.0
2023-09-20,43.5212,43.8236,42.1467,42.1626,36710769.0
2023-09-21,41.5078,42.0239,40.9059,40.9428,45073596.0
2023-09-22,41.4968,42.0389,41.1565,41.5348,47923631.0
2023-09-25,41.5158,42.4591,41.1025,42.1457,41909096.0
2023-09-26,41.9251,42.7426,41.5797,41.8352,40228209.0
2023-09-27,42.2535,42.7945,41.5537,42.3912,44493520.0
2023-09-28,42.3832,43.3678,42.0389,43.0111,42466279.0
2023-09-29,43.7478,44.0642,43.2286,43.4204,39782993.0
2023-10-02,43.9504,45.0933,43.7817,44.701,43329821.0
2023-10-03,44.727,45.0484,43.1678,43.4383,47084954.0
2023-10-04,43.6629,44.0632,43.2137,43.9614,36182086.0
2023-10-05,43.9704,44.8188,43.8086,44.6072,39348309.0
2023-10-06,44.1131,45.7062,43.9464,45.6793,43443602.0
