Date,Open,High,Low,Close,Volume
2023-06-06,2.44,2.55,2.4,2.54,193843.0
2023-06-07,2.56,2.56,2.4,2.45,255796.0
2023-06-08,2.47,2.59,2.44,2.53,174974.0
2023-06-09,2.53,2.58,2.46,2.5,184926.0
2023-06-12,2.46,2.52,2.45,2.5,193096.0
2023-06-13,2.5,2.61,2.5,2.6,134379.0
2023-06-14,2.59,2.69,2.525,2.59,126911.0
2023-06-15,2.58,2.74,2.54,2.68,170262.0
2023-06-16,2.75,2.84,2.65,2.82,349647.0
2023-06-20,2.77,2.77,2.62,2.71,166728.0
2023-06-21,2.7,2.7499,2.53,2.56,165217.0
2023-06-22,2.54,2.54,2.39,2.46,250885.0
2023-06-23,2.41,2.65,2.4,2.59,1388136.0
2023-06-26,2.6,2.66,2.47,2.51,181729.0
2023-06-27,2.6,2.62,2.47,2.57,181518.0
2023-06-28,2.51,2.56,2.41,2.54,217250.0
2023-06-29,2.54,2.65,2.51,2.61,148681.0
2023-06-30,2.63,2.641,2.54,2.55,124934.0
2023-07-03,2.58,2.64,2.49,2.63,182425.0
2023-07-05,2.57,2.59,2.5,2.55,139427.0
2023-07-06,2.6,2.6,2.46,2.46,179333.0
2023-07-07,2.49,2.57,2.42,2.52,136221.0
2023-07-10,2.52,2.71,2.52,2.69,141555.0
2023-07-11,2.72,2.94,2.71,2.87,226903.0
2023-07-12,2.96,3.085,2.83,3.06,268965.0
2023-07-13,3.05,3.1,2.99,3.06,122684.0
2023-07-14,3.06,3.4999,3.059,3.38,453905.0
2023-07-17,3.36,3.6,3.3,3.54,308421.0
2023-07-18,3.68,3.96,3.5848,3.77,504448.0
2023-07-19,3.84,3.97,3.72,3.76,284904.0
2023-07-20,3.76,3.76,3.48,3.65,277217.0
2023-07-21,3.68,3.74,3.4,3.5,234628.0
2023-07-24,3.38,3.45,3.32,3.34,188557.0
2023-07-25,3.3,3.52,3.242,3.36,679289.0
2023-07-26,3.35,3.41,3.13,3.27,237131.0
2023-07-27,3.29,3.3,3.22,3.22,173435.0
2023-07-28,3.28,3.5,3.23,3.44,193748.0
2023-07-31,3.46,3.79,3.43,3.64,257058.0
2023-08-01,3.61,3.69,3.51,3.65,146374.0
2023-08-02,3.55,3.63,3.51,3.53,135554.0
2023-08-03,3.53,3.61,3.34,3.42,246076.0
2023-08-04,3.39,3.52,3.3675,3.39,107006.0
2023-08-07,3.65,3.65,3.36,3.43,206110.0
2023-08-08,3.4,3.53,3.305,3.42,180859.0
2023-08-09,3.45,3.5,3.26,3.39,111232.0
2023-08-10,3.41,3.55,3.41,3.54,139801.0
2023-08-11,3.53,3.6,3.44,3.56,124737.0
2023-08-14,3.48,3.5,3.29,3.31,161965.0
2023-08-15,3.28,3.3783,3.07,3.09,261053.0
2023-08-16,3.06,3.23,2.96,2.98,313990.0
2023-08-17,2.99,3.17,2.93,3.11,163795.0
2023-08-18,3.06,3.21,3.0095,3.2,111793.0
2023-08-21,3.2,3.31,3.175,3.27,139876.0
2023-08-22,3.27,3.27,3.0598,3.09,209167.0
2023-08-23,3.12,3.3,3.09,3.27,122612.0
2023-08-24,3.26,3.28,3.06,3.06,74039.0
2023-08-25,3.09,3.16,2.91,3.07,95933.0
2023-08-28,3.09,3.2899,3.0846,3.24,82959.0
2023-08-29,3.24,3.4,3.22,3.24,117470.0
2023-08-30,3.23,3.36,3.21,3.26,100105.0
2023-08-31,3.27,3.34,3.21,3.22,62876.0
2023-09-01,3.27,3.41,3.27,3.32,67816.0
2023-09-05,3.34,3.3746,3.21,3.23,81084.0
2023-09-06,3.24,3.31,3.19,3.24,55774.0
2023-09-07,3.19,3.27,3.08,3.23,65137.0
2023-09-08,3.2,3.28,3.08,3.1,56226.0
2023-09-11,3.11,3.24,3.11,3.21,67383.0
2023-09-12,3.15,3.23,3.1,3.11,97107.0
2023-09-13,3.18,3.6264,3.03,3.4,727205.0
2023-09-14,3.46,4.24,3.42,4.12,1070648.0
2023-09-15,4.12,4.2699,3.3,3.3,1022785.0
2023-09-18,3.4,3.7,3.32,3.35,702896.0
2023-09-19,3.35,3.56,3.26,3.26,427810.0
2023-09-20,3.31,3.39,3.15,3.18,156269.0
2023-09-21,3.16,3.21,2.95,2.96,401525.0
2023-09-22,2.96,3.08,2.9,2.94,123755.0
2023-09-25,2.86,2.9182,2.64,2.75,370689.0
2023-09-26,2.71,2.93,2.71,2.89,150471.0
2023-09-27,2.93,3.05,2.84,2.87,133859.0
2023-09-28,2.9,2.95,2.82,2.87,100471.0
2023-09-29,2.91,2.921,2.79,2.89,145826.0
2023-10-02,2.94,2.9595,2.795,2.85,156440.0
2023-10-03,2.9,2.9,2.67,2.75,161682.0
2023-10-04,2.71,2.82,2.65,2.81,115881.0
2023-10-05,2.78,2.93,2.734,2.87,65047.0
2023-10-06,2.82,2.89,2.7401,2.87,213434.0
2023-10-09,2.84,2.86,2.75,2.78,133323.0
2023-10-10,2.79,2.9799,2.76,2.83,145492.0
2023-10-11,2.83,2.869,2.6816,2.8,145902.0
2023-10-12,2.79,2.84,2.64,2.65,125919.0
2023-10-13,2.65,2.6941,2.58,2.66,117644.0
2023-10-16,2.74,2.82,2.7,2.79,105114.0
2023-10-17,2.75,2.96,2.75,2.86,186292.0
2023-10-18,2.81,2.81,2.74,2.75,84521.0
2023-10-19,2.69,2.75,2.61,2.66,148068.0
2023-10-20,2.64,2.71,2.61,2.62,86671.0
2023-10-23,2.61,2.73,2.55,2.66,150075.0
