Date,Open,High,Low,Close,Volume
2023-06-07,412.2902,413.4257,410.048,410.4714,85373275.0
2023-06-08,410.5388,413.4064,409.7689,412.9542,61952842.0
2023-06-09,413.7529,415.7064,412.704,413.6951,85647268.0
2023-06-12,414.6767,417.5251,413.955,417.4481,76256703.0
2023-06-13,418.9108,420.8451,418.2468,420.2003,95899704.0
2023-06-14,420.5371,422.511,417.246,420.7007,100612080.0
2023-06-15,419.8828,427.1674,419.7865,425.9164,110303091.0
2023-06-16,427.9047,428.4724,423.9929,424.4662,114165849.0
2023-06-20,422.5247,423.4133,420.1873,422.2639,76160359.0
2023-06-21,421.2787,422.0804,419.5112,420.1004,76982251.0
2023-06-22,419.1441,421.7231,418.8061,421.6168,70637175.0
2023-06-23,418.1589,420.2163,417.7146,418.4294,92074537.0
2023-06-26,417.8595,419.7816,416.4783,416.7198,72823560.0
2023-06-27,417.5987,421.9066,417.1448,421.2884,72813699.0
2023-06-28,420.2066,422.5151,419.5885,421.5009,75635976.0
2023-06-29,421.0856,423.3264,420.6799,423.1622,67882304.0
2023-06-30,426.3786,429.141,426.0599,428.1558,104964019.0
2023-07-03,427.8081,428.9285,427.528,428.6484,32793378.0
2023-07-05,426.8326,428.744,426.8229,428.0109,58418432.0
2023-07-06,424.4275,425.0843,422.148,424.6593,80658302.0
2023-07-07,423.6645,427.5377,423.3457,423.5872,86134178.0
2023-07-10,423.2298,424.8332,422.6551,424.6593,62443501.0
2023-07-11,425.4224,427.8564,424.4468,427.3638,64463752.0
2023-07-12,431.1597,432.2124,429.7302,430.8023,91924527.0
2023-07-13,432.6182,435.0136,432.1835,434.2216,72425241.0
2023-07-14,435.1053,435.9601,433.1881,433.9511,69815823.0
2023-07-17,433.8062,436.5107,433.7579,435.4579,52680221.0
2023-07-18,435.1295,439.3407,434.6933,438.6936,80744448.0
2023-07-19,439.4856,440.8572,438.6181,439.6691,65891688.0
2023-07-20,438.6743,439.5725,436.0374,436.7522,70591642.0
2023-07-21,438.4714,438.6694,436.7425,436.7522,71275618.0
2023-07-24,437.9016,439.5146,436.8661,438.7032,54023382.0
2023-07-25,438.4328,441.1518,438.3845,439.9009,55191240.0
2023-07-26,438.964,441.3981,437.9112,439.9685,71052885.0
2023-07-27,443.3588,443.7645,436.1437,437.0516,92194375.0
2023-07-28,440.3259,442.1611,437.0533,441.3304,80011790.0
2023-07-31,441.8037,442.5281,440.4853,442.1708,62040449.0
2023-08-01,440.7026,441.6492,439.9492,440.9055,55502199.0
2023-08-02,437.7857,438.0464,434.0186,434.7721,93933369.0
2023-08-03,432.7534,435.4096,432.1063,433.5261,64419692.0
2023-08-04,435.342,437.4428,431.0438,431.5654,100128902.0
2023-08-07,433.4006,435.482,432.7051,435.3323,58357464.0
2023-08-08,432.7921,435.318,430.0784,433.4392,71361324.0
2023-08-09,433.7096,433.8737,429.7785,430.5415,78789575.0
2023-08-10,432.8983,436.2885,429.5274,430.6961,93005495.0
2023-08-11,428.8223,431.4598,428.2186,430.445,68690902.0
2023-08-14,429.5274,432.821,429.2183,432.821,47867441.0
2023-08-15,431.0438,431.4012,427.2093,427.7791,75707534.0
2023-08-16,427.3638,429.0251,424.5338,424.64,80107206.0
2023-08-17,426.1082,426.3689,420.8827,421.4043,95711315.0
